"","tried_influence","attend_rally","work_party","wear_button","give_money_party","campaign_participation","discuss","give_money_campaign","volunteer","community_work","community_meeting","vote_in_primary","trust_others","satisfied_life","understand_issues","too_complicated","age","hisp","empl","own_home","married","class_conscious","PARTY_ID","better_off_econ1","STATEFIPS","money_stocks","born_again","college","black","female","inc_firstthird","inc_upperthird","lgbt","middleclass","jewish","catholic","protestant","nonreligious","knowl","str_PARTY","agesq","Consistency","Extremity","ideo_ext","ideo_label","ideo_score","Position","year","respondent","unique_id","wt1","wt2","wt3","complete_pre","complete_post","census_region","Action_Score"
"9199",1,1,1,1,1,0,0,0,2,0,0,2,1,1,0,0,32,0,1,0,1,0,"1",2,"40",0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1024,0.375838675190609,1.51654482983102,1,"right",8.72141690648313,1.51654482983102,"2016",603,20160603,0.691,0.691,0.691,1,1,"3",9
"9200",1,1,1,1,1,0,0,0,2,0,0,1,1,1,1,1,71,0,1,0,0,0,"2",4,"25",0,2,1,0,1,1,0,0,0,0,1,0,0,1,1,5041,0.486612831165275,0.227001095137959,0,"moderate",2.19511623252582,0.227001095137959,"2016",604,20160604,0.95,0.95,0.95,1,1,"3",8
"9201",0,1,1,1,1,1,1,0,2,0,0,1,0,1,0,0,51,0,6,1,1,1,"7",4,"48",0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,2601,0.416853684480075,0.204212299058536,0,"moderate",0.0127720518270135,-0.204212299058536,"2016",605,20160605,0.956,0.956,0.956,1,1,"2",9
"9202",1,1,1,1,1,0,0,0,2,0,0,1,1,1,0,0,65,0,1,1,1,1,"5",2,"9",1,2,0,0,1,0,1,0,1,0,0,1,0,1,0,4225,0.356446902415862,0.138172957211039,0,"moderate",1.74556254867437,0.138172957211039,"2016",606,20160606,0.447,0.447,0.447,1,1,"3",8
"9203",1,1,1,1,1,0,1,0,1,1,0,2,1,1,0,0,78,0,5,0,1,0,"2",2,"27",1,2,0,0,0,1,0,0,0,0,1,0,0,1,1,6084,0.536956268176511,1.99894350424412,1,"right",11.1628066083126,1.99894350424412,"2016",607,20160607,0.544,0.544,0.544,1,1,"2",10
"9205",0,1,1,0,1,2,1,0,1,1,0,2,1,1,0,0,61,1,1,1,1,1,"6",2,"12",1,2,1,0,1,0,1,0,1,0,0,1,0,1,1,3721,0.321126337319414,0.478988507004006,0,"moderate",-1.37785325451732,-0.478988507004006,"2016",609,20160609,0.259,0.259,0.259,1,1,"1",10
"9206",0,1,1,1,0,2,1,1,1,1,0,1,1,0,0,1,50,0,1,0,0,0,"1",2,"40",0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,2500,0.601309224134276,0.111915452839358,0,"moderate",0.479880652705705,-0.111915452839358,"2016",610,20160610,0.261,0.261,0.261,1,1,"4",10
"9207",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,47,0,1,1,1,1,"3",3,"47",1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2209,0.518088689374288,0.116883233507,0,"moderate",1.63781658053075,0.116883233507,"2008",904,20080904,0.6285,0.6285,0.6285,1,1,"3",10
"9208",1,1,1,1,1,0,0,0,2,0,0,2,0,1,0,0,76,0,5,1,1,0,"2",4,"42",1,2,1,0,1,0,1,0,1,0,1,0,0,1,1,5776,0.443549854507829,0.611995672497611,0,"moderate",4.14354985450783,0.611995672497611,"2016",611,20160611,0.32,0.32,0.32,1,1,"1",9
"9211",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,1,71,1,5,1,0,0,"1",2,"12",0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,5041,0.449189493113567,2.66033618463812,1,"right",14.5100738468551,2.66033618463812,"2016",614,20160614,1.059,1.059,1.059,1,1,"3",9
"9214",1,1,1,1,1,0,0,0,1,0,0,2,1,1,1,0,66,0,1,1,1,1,"6",5,"18",0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,4356,0.399554287016664,0.0742224251857069,0,"moderate",0.670642722390814,-0.0742224251857069,"2016",617,20160617,0.799,0.799,0.799,1,1,"3",8
